k,w,best_gc,average_density_factor,ragnars bound,1/sigma^k
5,54,23801700581938500,2.450937,1.95E+16,1.80E+16
5,55,47118902948879000,2.470492,3.84E+16,3.60E+16
5,56,93314710745076600,2.485285,7.56E+16,7.21E+16
5,57,184869815364257000,2.502182,1.49E+17,1.44E+17
5,58,366383923391099000,2.519478,2.93E+17,2.88E+17
5,59,726365390932283000,2.538542,5.76E+17,5.76E+17
5,60,1440510132647800000,2.556133,1.14E+18,1.15E+18
5,61,2857684671801650000,2.573092,2.24E+18,2.31E+18
5,62,5670792177731020000,2.593936,4.41E+18,4.61E+18
5,63,11256398473800400000,2.612055,8.68E+18,9.22E+18
5,64,22349950882902500000,2.628917,1.71E+19,1.84E+19
5,65,44388490266650100000,2.648538,3.37E+19,3.69E+19
5,66,88181272662375300000,2.669513,6.65E+19,7.38E+19
5,67,175163519069478000000,2.686844,1.31E+20,1.48E+20
5,68,348014422423491000000,2.707526,2.59E+20,2.95E+20
5,69,691613868463597000000,2.72712,5.11E+20,5.90E+20
5,70,1374796899246386138780,2.747976,1.01E+21,1.18E+21
5,71,2733490070431818570762,2.76749,1.99E+21,2.36E+21
5,72,5436212683979182380729,2.790536,3.93E+21,4.72E+21
5,73,10813627370113933888541,2.809298,7.75E+21,9.44E+21
5,74,21514858698513850111939,2.831816,1.53E+22,1.89E+22
5,75,42814818018005992732539,2.851389,3.02E+22,3.78E+22
5,76,85218678769444301032579,2.874061,5.97E+22,7.56E+22
5,77,169651305156134273172312,2.893652,1.18E+23,1.51E+23
5,78,337798787816329427716372,2.917674,2.33E+23,3.02E+23
5,79,672719985035804751827293,2.938134,4.61E+23,6.04E+23
5,80,1339932578268018439952920,2.961761,9.10E+23,1.21E+24
5,81,2669322627649636882355303,2.982637,1.80E+24,2.42E+24
5,82,5318460526819579736516384,3.005018,3.56E+24,4.84E+24
5,83,10598268530918669943534495,3.028338,7.03E+24,9.67E+24
5,84,21122507150363484120955858,3.049985,1.39E+25,1.93E+25
5,85,42103203667291667799609622,3.074469,2.75E+25,3.87E+25
5,86,83934713138407629863752276,3.097003,5.44E+25,7.74E+25
